LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:8887af,"ich hörte,",i heard,i heard,Original,IceHikerStart
line:e2cf23,"dass es eine route gab,\ndie im Schatten des Berges ist",there used to be a route\nthat went along the dark\nside of the mountain,there used to be a route\nthat went along the dark\nside of the mountain,Original,IceHikerStart
line:899970,aber,but,but,Original,IceHikerStart
line:cc9db2,sie haben es vor langer zeit geschlossen,they closed it a long time ago,they closed it a long time ago,Original,IceHikerStart
line:b20bd2,ich wundere mich ob er noch nutzbar ist.,i wonder if it's still usable?,i wonder if it's still usable?,Original,IceHikerStart
line:c08238,wenn du einen weg hoch findest,if you manage to find a way up,if you manage to find a way up,Original,IceHikerStart
line:b831d9,kannst es du mich wissen lassen?,can you let me know?,can you let me know?,Original,IceHikerStart
line:bc247c,klar!,sure!,sure!,Player,IceHikerStart
line:932396,ich komm zu dir zurück,i'll come back for you,i'll come back for you,Player,IceHikerStart
line:a3773d,am Meteor See wird es\nheute einen marathon geben!,there's gonna be a marathon\nrace at Meteor Lake today!,there's gonna be a marathon\nrace at Meteor Lake today!,Original,BeachHikerStart
line:46507b,der wettbewerb in\ndiesem jahr ist hart!,the competition this year is fierce!,the competition this year is fierce!,Original,BeachHikerStart
line:582366,mein neffe läuft den marathon mit,my nephew is running in the marathon,my nephew is running in the marathon,Original,BeachHikerStart
line:a5c85c,er hat den ganzen morgen\nschon trainiert,he's been out training all morning,he's been out training all morning,Original,BeachHikerStart
line:e2275b,"wenn du ihn da draußen siehst,","if you see him out there,","if you see him out there,",Original,BeachHikerStart
line:ff486e,"geh' sicher, dass er\nauch pausen macht!",make sure he's taking breaks!,make sure he's taking breaks!,Original,BeachHikerStart
line:c6b196,"geh' auch sicher,\ndass er genug wasser trinkt!",also make sure he's\ndrinking lots of water!,also make sure he's\ndrinking lots of water!,Original,BeachHikerStart
line:3e2b7d,niemals vergessen zu trinken!,never overlook hydration!,never overlook hydration!,Original,BeachHikerStart
line:e0de25,ich habe einige gemunkel gehört,i've heard some rumors,i've heard some rumors,Original,LowerHikerStart
line:a70ba4,magst du gemunkel?,do you like rumors?,do you like rumors?,Original,LowerHikerStart
line:a6bbd0,ein wenig denke ich,i dabble,i dabble,Player,LowerHikerStart
line:b7af78,ok hör' mir zu,ok hear me out,ok hear me out,Original,LowerHikerStart
line:5b466b,jim hat gerade einen metalldetektor gekauft,jim just bought a metal detector,jim just bought a metal detector,Original,LowerHikerStart
line:2de9cb,er lief gestern umher,he was running around yesterday,he was running around yesterday,Original,LowerHikerStart
line:47eead,auf der suche nach zeugs rund um die insel,looking for stuff around the island,looking for stuff around the island,Original,LowerHikerStart
line:f610c5,es ist verrückt!,it was going nutso!,it was going nutso!,Original,LowerHikerStart
line:328d7a,sieht so aus als ob überall\nauf der insel sachen vergraben sind?!,seems like there's stuff\nburied all over the island?!,seems like there's stuff\nburied all over the island?!,Original,LowerHikerStart
line:bc4834,was für sachen?,what kind of stuff?,what kind of stuff?,Player,LowerHikerStart
line:7b23af,ich weiß es nicht,i dunno,i dunno,Original,LowerHikerStart
line:cb9371,metallische sachen?,metal stuff?,metal stuff?,Original,LowerHikerStart
line:2374ec,jim hat eigentlich keine <color=red>schaufel</color>,jim doesn't actually own <color=red>a shovel</color>,jim doesn't actually own <color=red>a shovel</color>,Original,LowerHikerStart
line:58caf1,also...,so...,so...,Original,LowerHikerStart
line:fd26dc,kann er auch nicht die sachen ausbuddeln,he wasn't able to dig any of it up,he wasn't able to dig any of it up,Original,LowerHikerStart
line:2fb782,ok also du möchtest mehr gemunkel hören,ok so you wanna hear another rumor,ok so you wanna hear another rumor,Original,LowerHikerStart
line:9af4a9,"klar, warum nicht??",sure why not,sure why not,Player,LowerHikerStart
line:9a8e19,also deborah war neulich am\nAussichtpunkt,so deborah was up at\nOutlook Point the other day,so deborah was up at\nOutlook Point the other day,Original,LowerHikerStart
line:f7c5cc,"sie sagte, dass wenn sie\ndurch das fernglas geschaut hat","she said, that when she\nlooked through the binoculars","she said, that when she\nlooked through the binoculars",Original,LowerHikerStart
line:cbb413,sah sie eine...,she could see a...,she could see a...,Original,LowerHikerStart
line:a4c81c,GEHEIMNISVOLLE INSEL,MYSTERIOUS ISLAND,MYSTERIOUS ISLAND,Original,LowerHikerStart
line:353e7d,wie geheimnisvoll!!,how mysterious!!,how mysterious!!,Player,LowerHikerStart
line:7781fd,du möchtest also noch ein gemunkel hören?,so you want to hear another rumor?,so you want to hear another rumor?,Original,LowerHikerStart
line:d96cbb,gerne!,alright,alright,Player,LowerHikerStart
line:fe272d,"nun, alle meine gemunkel sind aus",well i'm all out,well i'm all out,Original,LowerHikerStart
line:3a1dd5,kein problem,that's ok,that's ok,Player,LowerHikerStart
line:95505d,aww teufel!,aww heck,aww heck,Original,FrogMiniStart
line:1a8c04,meine produktion wird mit so einer schaufel abheben,my productivity is\ngonna skyrocket with\na shovel like this,my productivity is\ngonna skyrocket with\na shovel like this,Original,FrogMiniStart
line:5e04ad,"ich hol noch auf,","i'll catch ya later,","i'll catch ya later,",Original,FrogMiniStart
line:5d36db,ich muss noch viel arbeit erledigen,i've got a lot\nof work to do,i've got a lot\nof work to do,Original,FrogMiniStart
line:f4121f,"hey schau dir mal diese\nschaufel an, die ich gefunden habe",hey check out this\nshovel i found,hey check out this\nshovel i found,Player,FrogMiniStart
line:1bc8fc,das ist vielleicht eher deine größe,it might be a little more your size,it might be a little more your size,Player,FrogMiniStart
line:1bf15e,hey mann!,hey dude,hey dude,Player,FrogMiniStart
line:9e26ee,was machst du so,what's happening,what's happening,Player,FrogMiniStart
line:0dcad0,ach das weißt du schon!,"oh, you know!","oh, you know!",Original,FrogMiniStart
line:456ef9,einfach nur am strand entspannen,just jammin' out on the beach,just jammin' out on the beach,Original,FrogMiniStart
line:91fe35,sandburgen und so bauen,building sandcastles\nand what not,building sandcastles\nand what not,Original,FrogMiniStart
line:f7a787,hört sich gut an,sounds like a good time,sounds like a good time,Player,FrogMiniStart
line:2d4144,du weißt schon,you know it,you know it,Original,FrogMiniStart
line:b4e558,kann ich deine schaufel ausleien?,can i borrow your shovel?,-> can i borrow your shovel?,Player,FrogMiniStart
line:41aac2,bis später,see ya later,-> see ya later,Player,FrogMiniStart
line:d68cec,"'tschuldigung, mann",sorry bud,sorry bud,Original,FrogMiniStart
line:7f7e58,ich brauch es für meine sandburgen,i need it for sandcastle construction,i need it for sandcastle construction,Original,FrogMiniStart
line:043a03,ist sie nicht ein bisschen zu groß dafür?,isn't it a little big for that?,isn't it a little big for that?,Player,FrogMiniStart
line:3d0e29,"Ja, aber",yeah but,yeah but,Original,FrogMiniStart
line:f0910a,so sind schaufeln nunmal,that's just how shovels are,that's just how shovels are,Original,FrogMiniStart
line:6faeaa,"du kannst dir kleinere holen,",you can get smaller ones,you can get smaller ones,Player,FrogMiniStart
line:4aac4b,welche für sandburgen.,ones made for sandcastles,ones made for sandcastles,Player,FrogMiniStart
line:49299e,waas?,whaat?,whaat?,Original,FrogMiniStart
line:286be3,hört sich unglaublich an!,sounds fake,sounds fake,Original,FrogMiniStart
line:0ad3b3,ich hab' sogar eine!,i've got one on me!,i've got one on me!,Player,FrogMiniStart
line:479942,"hier, schau die an!","here, take a look at this","here, take a look at this",Player,FrogMiniStart
line:0782a1,aber wenn du mir eine zeigen kannst,but if you can show me one,but if you can show me one,Original,FrogMiniStart
line:fafd82,würde ich gerne mit dir tauschen!,i'd be glad to trade,i'd be glad to trade,Original,FrogMiniStart
line:996361,wenn du mir eine\nbessere schaufel bringen kannst,if you can find me\na better suited shovel,if you can find me\na better suited shovel,Original,FrogMiniStart
line:ab9fa7,würde ich gerne mit dir tauschen!,i'd be totes down to trade,i'd be totes down to trade,Original,FrogMiniStart
line:2f89a6,bis bald!,keep it fresh!,keep it fresh!,Original,FrogMiniStart
line:cd4f15,meine sandburg ist nun\nteil einer sandstadt!,my sandcastle is now\npart of a sandcity!,my sandcastle is now\npart of a sandcity!,Original,FrogElections
line:b9884b,weiterhin,and also,and also,Original,FrogElections
line:212896,bin ich ein kandidat in einer\nschweren wahl um den bürgermeister,i'm running in a HOTLY\ncontested election for mayor,i'm running in a HOTLY\ncontested election for mayor,Original,FrogElections
line:98996e,warte kurz...,oh hold on...,oh hold on...,Original,FrogElections
line:2d62a8,die ergebnisse kommen gerade rein!,the election results\nare JUST coming in!,the election results\nare JUST coming in!,Original,FrogElections
line:980c18,!!,!!,!!,Player,FrogElections
line:d5569e,okay okay,okay okay,okay okay,Original,FrogElections
line:c83615,ich ordne sie kurz,im tallying them up,im tallying them up,Original,FrogElections
line:5f5ab3,...,...,...,Original,FrogElections
line:afa212,DRITTER PLATZ!?,THIRD PLACE!?,THIRD PLACE!?,Original,FrogElections
line:854dfd,waaas!,whaaat!,whaaat!,Original,FrogElections
line:4b0021,ich hab' diese stadt gebaut!,i built this city!,i built this city!,Original,FrogElections
line:b7b7e3,"Schade, dass du verloren hast",sorry about the loss,sorry about the loss,Player,FrogElections
line:9db94d,es war ein kopf an kopf rennen,it was a tough race,it was a tough race,Original,FrogElections
line:a34d21,aber es ist okay,but it's ok,but it's ok,Original,FrogElections
line:6d4cd5,ich habe es geschafft ein\nsitz im stadtrat zu bekommen!,i managed to secure a seat\non the city council,i managed to secure a seat\non the city council,Original,FrogElections
line:42e074,hmm,hmm,hmm,Original,RaceRabbitStart
line:8a0950,uh,uh,uh,Original,RaceRabbitStart
line:ce3b30,ja?,yeah?,yeah?,Player,RaceRabbitStart
line:b5c025,das Stirnband das du trägst,that headband you're wearing,that headband you're wearing,Original,RaceRabbitStart
line:7347fa,oh ähm!,oh uh!,oh uh!,Player,RaceRabbitStart
line:9c5e91,richtig,right,right,Player,RaceRabbitStart
line:0d9622,"hier, ich habe das gefunden!","here, i found this","here, i found this",Player,RaceRabbitStart
line:ca6f2a,hast du mein stirnband\nschon finden können?,any luck finding\nmy headband yet?,any luck finding\nmy headband yet?,Player,RaceRabbitStart
line:4aa411,also,well,well,Player,RaceRabbitStart
line:d16266,ich hab' das hier gefunden...,i found this...,i found this...,Player,RaceRabbitStart
line:3598c9,uh..,uh..,uh..,Original,RaceRabbitStart
line:526327,hmm!,hmm!,hmm!,Original,RaceRabbitStart
line:ac78dd,hi!,hi!,hi!,Player,RaceRabbitStart
line:14465a,HII!!!,HII!!!,HII!!!,Original,RaceRabbitStart
line:20f3db,"uh, geht es dir gut?","uh, are you ok?","uh, are you ok?",Player,RaceRabbitStart
line:04c38d,uhh!,uhh!,uhh!,Original,RaceRabbitStart
line:622b29,nicht wirklich...,not really...,not really...,Original,RaceRabbitStart
line:15e552,ich soll heute ein marathon rennen,i'm supposed to run\na marathon race today,i'm supposed to run\na marathon race today,Original,RaceRabbitStart
line:c4af1f,aber ich hab' mein stirnband verloren!!,but i've lost my lucky\nheadband!!,but i've lost my lucky\nheadband!!,Original,RaceRabbitStart
line:3e1f3c,"ich habe es zu jedem rennen getragen,\ndas ich gerannt bin!",i've worn it to EVERY\nrace i've ever run!,i've worn it to EVERY\nrace i've ever run!,Original,RaceRabbitStart
line:0c18ad,ich...,i...,i...,Original,RaceRabbitStart
line:1c4bea,"ich weiss nicht, ob ich ohne es rennen könnte!",i don't know if i could\nrace without it,i don't know if i could\nrace without it,Original,RaceRabbitStart
line:14481a,wo hast du es denn verloren?,where'd you lose it?,where'd you lose it?,Player,RaceRabbitStart
line:3e80d4,irgendwo im Schwarzwald.,somewhere in Blackwood Forest,somewhere in Blackwood Forest,Original,RaceRabbitStart
line:aa27b9,...,...,...,Original,RaceRabbitStart
line:3c03ee,glaube ich...,i think...,i think...,Original,RaceRabbitStart
line:ddb376,ich könnte für dich nachschauen,i could take a look for you,i could take a look for you,Player,RaceRabbitStart
line:40eef8,wirklich?!,really!?,really!?,Original,RaceRabbitStart
line:ea60ac,das würdest du für mich tun?,you'd do that for me?,you'd do that for me?,Original,RaceRabbitStart
line:ffac2a,klar!,sure!,sure!,Player,RaceRabbitStart
line:9171bb,!!,!!,!!,Original,RaceRabbitStart
line:8ab296,es ist ein <color=red>rotes stirnband</color>,it's a <color=red>red headband</color>,it's a <color=red>red headband</color>,Original,RaceRabbitStart
line:678691,...ich kann dich dafür belohnen!,...i can give you a reward!,...i can give you a reward!,Original,RaceRabbitStart
line:da4c6c,ich könnte dir ein paar\n<color=red>Laufschuhe</color> geben.,i could give you a\n<color=red>pair of running shoes</color>,i could give you a\n<color=red>pair of running shoes</color>,Original,RaceRabbitStart
line:c4a22d,brauchst du die nicht selber?,don't you need those yourself?,don't you need those yourself?,Player,RaceRabbitStart
line:70f431,also,well,well,Original,RaceRabbitStart
line:cb2831,"ich wurde von dieser schuhfirma gesponsert,",i just got sponsored\nby this shoe company,i just got sponsored\nby this shoe company,Original,RaceRabbitStart
line:f5df81,die haben mir mehr als 10 Paare gegeben.,they gave me like 10 pairs,they gave me like 10 pairs,Original,RaceRabbitStart
line:bc41ac,woah!,woah!,woah!,Player,RaceRabbitStart
line:30f083,gratulation!,congrats,congrats,Player,RaceRabbitStart
line:abf228,oh!!,oh!!,oh!!,Original,RaceRabbitStart
line:56b96b,haha... danke!,haha... thanks,haha... thanks,Original,RaceRabbitStart
line:4df55c,aber uhh,but uhh,but uhh,Original,RaceRabbitStart
line:5c0042,lass' mich wissen wenn du ein <color=red>rotes stirnband!</color>,let me know if you see\na <color=red>red headband!</color>,let me know if you see\na <color=red>red headband!</color>,Original,RaceRabbitStart
line:62734e,ich habe es ihr gegeben,i gave it to her,i gave it to her,Player,RaceTurtleStart
line:82f377,also ist sie wieder im rennen?,so she's back in the race?,so she's back in the race?,Original,RaceTurtleStart
line:1bbd37,ja!,yes!,yes!,Player,RaceTurtleStart
line:4b1458,fantastisch,awesome,awesome,Original,RaceTurtleStart
line:8eae37,"freut mich, dass ich helfen konnte!",i'm glad i could help!,i'm glad i could help!,Original,RaceTurtleStart
line:808a70,sie gab jedoch\ndas Stirnband zurück,"she returned the\nheadband, though","she returned the\nheadband, though",Player,RaceTurtleStart
line:e8d4f8,sie schien inspiriert zu sein,she seemed inspired,she seemed inspired,Player,RaceTurtleStart
line:a1d290,"ich denke, sie möchte versuchen, ohne glück zu gewinnen",i think she wants to\ntry and win luck-free,i think she wants to\ntry and win luck-free,Player,RaceTurtleStart
line:d90a2d,"ich denke, sie braucht es nicht!",i don't think she needs it!,i don't think she needs it!,Original,RaceTurtleStart
line:652de5,aber ich weiß was,but you know what,but you know what,Original,RaceTurtleStart
line:613427,warum behälst du nicht\neinfach das stirnband?,why don't you keep the headband,why don't you keep the headband,Original,RaceTurtleStart
line:26948a,dadurch werden wir gleich auf sein!,that way we'll be equal!,that way we'll be equal!,Original,RaceTurtleStart
line:75c136,äh,uh,uh,Player,RaceTurtleStart
line:8fba5b,"denkst du wirklich,\ndass es darauf ankommt?",do you really think it matters?,do you really think it matters?,Player,RaceTurtleStart
line:0b986b,tja...,well...,well...,Original,RaceTurtleStart
line:37440b,wahrscheinlich nicht,probably not,probably not,Original,RaceTurtleStart
line:beab1b,aber,but,but,Original,RaceTurtleStart
line:cca72a,nur um sicher zu gehen,just to be safe,just to be safe,Original,RaceTurtleStart
line:e00e7e,"lass' mich wissen, wie das geht!",let me know how it goes!,let me know how it goes!,Original,RaceTurtleStart
line:4af7e6,oh äh...,oh uh...,oh uh...,Player,RaceTurtleStart
line:3ff0aa,"komische frage, aber","weird question, but","weird question, but",Player,RaceTurtleStart
line:aae633,wo hast du dieses stirnband her?,where'd you get that headband?,where'd you get that headband?,Player,RaceTurtleStart
line:eadc96,äh...,uh...,uh...,Original,RaceTurtleStart
line:d22c70,ich weiß es nicht,i don't know,i don't know,Original,RaceTurtleStart
line:4fa42d,ich hab' es schon seit jahren,i've had it for ages,i've had it for ages,Original,RaceTurtleStart
line:afffa9,warum?,why?,why?,Original,RaceTurtleStart
line:399b5c,"ah, nun",ah well,ah well,Player,RaceTurtleStart
line:6c4ba7,ich habe gerade mit diesem\nkaninchen gesprochen,i was just talking to this rabbit,i was just talking to this rabbit,Player,RaceTurtleStart
line:59a3a6,"sie sagte, sie hätte\nihr stirnband irgendwo\nim wald verloren",she said she lost her headband\nsomewhere in the forest,she said she lost her headband\nsomewhere in the forest,Player,RaceTurtleStart
line:93be9c,oh! meinst du Sue?,oh! you mean Sue?,oh! you mean Sue?,Original,RaceTurtleStart
line:922d13,vielleicht?,maybe?,maybe?,Player,RaceTurtleStart
line:b55f42,ich weiß ihren namen nicht,i didn't get her name,i didn't get her name,Player,RaceTurtleStart
line:ce568d,sie war jedoch sehr\nbesorgt darüber,she was really worried\nabout it though,she was really worried\nabout it though,Player,RaceTurtleStart
line:b847d8,"sie sagte, es bringe ihr\nglück und sie bräuchte\nes für das rennen",she said it was lucky and\nshe needs it to race,she said it was lucky and\nshe needs it to race,Player,RaceTurtleStart
line:dc0d86,ich vermute sie rennt\nheute später!,i'm supposed to race\nher later today!,i'm supposed to race\nher later today!,Original,RaceTurtleStart
line:273442,"sie ist so talentiert, ich\nfreue mich richtig drauf!","she's so talented, i've been\nreally looking forward to it!","she's so talented, i've been\nreally looking forward to it!",Original,RaceTurtleStart
line:2046b6,hmm,hmm,hmm,Original,RaceTurtleStart
line:929f1d,was ist wenn ich dir meins gebe?,what if i gave you mine?,what if i gave you mine?,Original,RaceTurtleStart
line:b240c1,"ich bin mir ziemlich sicher,\ndass es die gleiche art ist",i'm pretty sure it's the same kind,i'm pretty sure it's the same kind,Original,RaceTurtleStart
line:69d63c,vielleicht fällt es ihr nicht auf?,maybe she wouldn't notice?,maybe she wouldn't notice?,Original,RaceTurtleStart
line:16d732,"oh, hmm...","oh, hmm...","oh, hmm...",Player,RaceTurtleStart
line:ef9f2b,aber,but,but,Player,RaceTurtleStart
line:b1a869,dann gäbe es kein glück?,then it wouldn't be lucky?,then it wouldn't be lucky?,Player,RaceTurtleStart
line:0258ab,"ah, ich weiß nicht","ah, i dunno","ah, i dunno",Original,RaceTurtleStart
line:791844,nimm es einfach,just take it,just take it,Original,RaceTurtleStart
line:9e0da2,seh mal nach ob sie es will,see if she wants it,see if she wants it,Original,RaceTurtleStart
line:fb32fb,was geht?,what's up?,what's up?,Player,RaceTurtleStart
line:3b6dd5,ich jogge nur,i'm just jogging,i'm just jogging,Original,RaceTurtleStart
line:ea4716,aufwärmen für ein Rennen später,warming up for a race later today,warming up for a race later today,Original,RaceTurtleStart
line:84fda1,ich bin ein wenig nervös,i'm a little nervous,i'm a little nervous,Original,RaceTurtleStart
line:724568,es wird dort viele\nqualifizierte läufer geben!,there's gonna be a lot of\nskilled runners there!,there's gonna be a lot of\nskilled runners there!,Original,RaceTurtleStart
line:df4afe,muss schnell sein!,gotta go speedy!,gotta go speedy!,Original,RaceTurtleStart
line:76aaed,nur ich und mich <color=red>red headband!</color>,just me and my <color=red>red headband!</color>,just me and my <color=red>red headband!</color>,Original,RaceTurtleStart
line:02fd75,"<sprite name=""LeftArrow"" tint=1> Zurück zur Hawk Peak Insel","<sprite name=""LeftArrow"" tint=1> Back To Hawk Peak Island","<sprite name=""LeftArrow"" tint=1> Back To Hawk Peak Island",Original,ToMainIslandStart
line:1c0f97,woah,woah,woah,Player,FrogProvincialElections
line:b78d1a,die stadt ist ziemlich gewachsen?,the city has really\nbeen growing huh?,the city has really\nbeen growing huh?,Player,FrogProvincialElections
line:9816e0,"oh das ist keine sandstadt mehr,",oh this isn't a sand city any more,oh this isn't a sand city any more,Original,FrogProvincialElections
line:4990c7,es ist eine Sand Provinz!,this is a sand province!,this is a sand province!,Original,FrogProvincialElections
line:fb702b,dieses mal,this time,this time,Original,FrogProvincialElections
line:deae8d,kandidiere ich als Premierminister\nin den Bezirkswahlen!,i'm running for premier\nin the provincial elections!,i'm running for premier\nin the provincial elections!,Original,FrogProvincialElections
line:46ef13,"sicher, ich wurde nicht zum bürgermeister,","sure, i wasn't elected as mayor","sure, i wasn't elected as mayor",Original,FrogProvincialElections
line:7c8950,aber diesmal..,but this time,but this time,Original,FrogProvincialElections
line:482eea,diesmal verdoppele ich meine Reichweite,i'm really doubling\ndown on outreach,i'm really doubling\ndown on outreach,Original,FrogProvincialElections
line:454b91,"und ich promoviere vorschläge,\ndie wahrscheinlich mit denen\neinwohner sicherlich übereinstimmen",and i'm promoting policies\ni really think will resonate\nwith my key districts,and i'm promoting policies\ni really think will resonate\nwith my key districts,Original,FrogProvincialElections
line:d300d2,sobald ich gewählt werde,once i'm elected,once i'm elected,Original,FrogProvincialElections
line:abd4e5,"kann ich meine macht nutzen,",i'll be able to use\nmy provincial influence,i'll be able to use\nmy provincial influence,Original,FrogProvincialElections
line:583dfc,"um endlich kontrolle über die\nStadt, die mich ausgegrenzt hat!",to finally exert control over\nthe city that shunned me!,to finally exert control over\nthe city that shunned me!,Original,FrogProvincialElections
line:bd795e,AHAHAHAHAA!,AHAHAHAHAA!,AHAHAHAHAA!,Original,FrogProvincialElections
line:b3acd5,...,...,...,Player,FrogProvincialElections
line:e46429,woah,woah,woah,Player,FrogProvincialElections
line:16fd54,"und die erste legislation,\ndie ich durchbringen werde,",and the first legislation i'll pass,and the first legislation i'll pass,Original,FrogProvincialElections
line:2c0bfd,"wird dazu taugen,\nmeinen alliierten zu helfen",will exist to consolidate\nmy allies in parliament,will exist to consolidate\nmy allies in parliament,Original,FrogProvincialElections
line:1a6669,"die zweite,",the second legislation,the second legislation,Original,FrogProvincialElections
line:763841,KOSTENLOSE SÜßIGKEITEN FÜR ALLE!!,FREE CANDY FOR ALL!!,FREE CANDY FOR ALL!!,Original,FrogProvincialElections
line:3420b4,AHAHAHAH!!,AHAHAHAH!!,AHAHAHAH!!,Original,FrogProvincialElections
line:50517f,soso...,so...,so...,Player,FrogProvincialElections
line:f93dca,wie läuft die Kampagne?,how's the campaigning going?,how's the campaigning going?,Player,FrogProvincialElections
line:e883ea,super gut!!,super good!!,super good!!,Original,FrogProvincialElections
line:59142c,so denkst du wirklich es ist glück?,so do you really think it's luck?,so do you really think it's luck?,Player,RabbitWithHeadband
line:b1968a,also..,well,well,Original,RabbitWithHeadband
line:b4ccae,"ich habe keine ahnung,",i don't know,i don't know,Original,RabbitWithHeadband
line:fe2d86,soweit bin ich..,i've gotten this far,i've gotten this far,Original,RabbitWithHeadband
line:820490,und,and,and,Original,RabbitWithHeadband
line:d4a604,"nur ich sage dinge,",it's just me,it's just me,Original,RabbitWithHeadband
line:217933,wie...,like...,like...,Original,RabbitWithHeadband
line:b2e215,... es muss glück sein!,...it's got to be luck,...it's got to be luck,Original,RabbitWithHeadband
line:3eb454,vielleicht ein bisschen!,well maybe a little,well maybe a little,Player,RabbitWithHeadband
line:cb5918,aber,but,but,Player,RabbitWithHeadband
line:9c3840,du bist so schnell!,you're so fast!,you're so fast!,Player,RabbitWithHeadband
line:24806b,und du hast so viel trainiert!,and you've trained so much!,and you've trained so much!,Player,RabbitWithHeadband
line:8f1d61,"du bist soweit gekommen, weil du was kannst!",you got this far\ncuz you're GOOD!,you got this far\ncuz you're GOOD!,Player,RabbitWithHeadband
line:d6b5ef,aw,aw,aw,Original,RabbitWithHeadband
line:972ef1,...,...,...,Original,RabbitWithHeadband
line:d39233,...yeah,...yeah,...yeah,Original,RabbitWithHeadband
line:22e728,weiss ich..,i know,i know,Original,RabbitWithHeadband
line:9a4de1,"ich glaube ich wusste das schon immer,",i think i've known all along,i think i've known all along,Original,RabbitWithHeadband
line:a77040,aber,but,but,Original,RabbitWithHeadband
line:6c5cd7,ich weiss nicht,i don't know,i don't know,Original,RabbitWithHeadband
line:2f57d9,ich werde so nervös!,i get so nervous,i get so nervous,Original,RabbitWithHeadband
line:cd435e,"manchmal wundere ich mich, ob das alles ein traum ist",sometimes i wonder if\nthis is all a fluke,sometimes i wonder if\nthis is all a fluke,Original,RabbitWithHeadband
line:45cfa5,...,...,...,Original,RabbitWithHeadband
line:3db99d,aber du hast recht!,but you're right!,but you're right!,Original,RabbitWithHeadband
line:87c100,ich brauch kein glück!,i don't need luck,i don't need luck,Original,RabbitWithHeadband
line:05e2ec,"hier, du kannst das Stirnband wieder haben","here, you can have\nthe headband back","here, you can have\nthe headband back",Original,RabbitWithHeadband
line:6e004d,ich mach das alles aleine!,i'm gonna do this\nall on my own!,i'm gonna do this\nall on my own!,Original,RabbitWithHeadband
line:46396b,woah,woah,woah,Player,RabbitWithHeadband
line:c4e495,danke!,thanks!,thanks!,Player,RabbitWithHeadband
line:0072ab,Viel glück beim Rennen!,good luck in the race,good luck in the race,Player,RabbitWithHeadband
line:cedcc0,Das schaffst du!!,you've got this!!,you've got this!!,Player,RabbitWithHeadband
line:cbbe18,"sorry, ich kann grad' nicht reden!","sorry, i can't chat right now","sorry, i can't chat right now",Player,RabbitWithHeadband
line:be4f50,ich muss mich mental und Physich\nauf das Rennnen vorbereiten!,i've gotta prepare mentally and\nphysically for the race!,i've gotta prepare mentally and\nphysically for the race!,Player,RabbitWithHeadband
line:af92f5,wir sehen uns!,see ya around!,see ya!,Player,RabbitWithHeadband
line:f07c9b,"<sprite tint=1 name=""UpArrow""> Hawk Peak Weg","<sprite tint=1 name=""UpArrow""> Hawk Peak Trail","<sprite tint=1 name=""UpArrow""> Hawk Peak Trail",Original,HawkPeakAltSignStart
line:49d9a1,"<sprite tint=1 name=""Warning""> Warnung <sprite tint=1 name=""Warning"">","<sprite tint=1 name=""Warning""> NOTICE <sprite tint=1 name=""Warning"">","<sprite tint=1 name=""Warning""> NOTICE <sprite tint=1 name=""Warning"">",Original,HawkPeakAltSignStart
line:29e1de,<color=yellow>Hawk Peak Weg</color> ist eine anstrengende wanderung!,<color=yellow>Hawk Peak Trail</color> is a strenuous hike!,<color=yellow>Hawk Peak Trail</color> is a strenuous hike!,Original,HawkPeakAltSignStart
line:48c18d,"man könnte <color=yellow>goldene federn</color>\nbenötigen, um sie zu schaffen.",You might need <color=yellow>golden\nfeathers</color> to complete it.,You might need <color=yellow>golden\nfeathers</color> to complete it.,Original,HawkPeakAltSignStart
line:fa84c0,<color=yellow>goldene federn</color> kann man\nam <color=yellow>Besucherzentrum</color> erwerben.,<color=yellow>Golden feathers</color> are for sale\nat the <color=yellow>visitor center.</color>,<color=yellow>Golden feathers</color> are for sale\nat the <color=yellow>visitor center.</color>,Original,HawkPeakAltSignStart
line:7388e5,geschwindigkeit ist mein name und rennen mein lieblingsspiel!,speed's my name and\nracing is my game!,speed's my name and\nracing is my game!,Original,RaceTurtleAfter
line:23d25d,eigentlich heiße ich Taylor,actually my name is Taylor,actually my name is Taylor,Original,RaceTurtleAfter
line:201ebc,aber,but yeah,but yeah,Original,RaceTurtleAfter
line:6d2090,"das wichtige ist,",the important thing\nto remember is that,the important thing\nto remember is that,Original,RaceTurtleAfter
line:8ce4e4,dass ich schnell bin,i go fast,i go fast,Original,RaceTurtleAfter
line:21411e,also äh,so uh,so uh,Original,WearingTurtleHat
line:8f2c69,behältst du das stirnband selbst?,are you just gonna keep\nthe headband yourself?,are you just gonna keep\nthe headband yourself?,Original,WearingTurtleHat
line:5546c7,nein!,no!,no!,Player,WearingTurtleHat
line:404764,also,"um, well","um, well",Player,WearingTurtleHat
line:94dd0b,"Sue hat es mir zurückgegeben,",Sue actually gave it back,Sue actually gave it back,Player,WearingTurtleHat
line:46d435,sie sagte sie wolle nicht mehr auf glück beruhen,she said she doesn't wanna\nrely on luck anymore,she said she doesn't wanna\nrely on luck anymore,Player,WearingTurtleHat
line:535119,das ist ja super!,that's great!,that's great!,Original,WearingTurtleHat
line:99d2d2,es ist kein glück!,it's NOT luck,it's NOT luck,Original,WearingTurtleHat
line:a8e13e,sie ist SEHR talentiert!,she's very talented,she's very talented,Original,WearingTurtleHat
